,support,itemsets
0,1.0,frozenset({'G2_ИГРУШКИ'})
1,0.16643209007741028,"frozenset({'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
2,0.0995777621393385,frozenset({'G2_КОСМЕТИКА/ГИГИЕНА'})
3,0.2227304714989444,frozenset({'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})
4,0.10978184377199156,frozenset({'G2_ОБУВЬ'})
5,0.20513722730471498,frozenset({'G2_ПОДГУЗНИКИ'})
6,0.24102744546094299,"frozenset({'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
7,0.17733990147783252,frozenset({'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})
8,0.16643209007741028,"frozenset({'G2_ИГРУШКИ', 'G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ'})"
9,0.0995777621393385,"frozenset({'G2_ИГРУШКИ', 'G2_КОСМЕТИКА/ГИГИЕНА'})"
10,0.2227304714989444,"frozenset({'G2_ИГРУШКИ', 'G2_КРУПНОГАБАРИТНЫЙ ТОВАР'})"
11,0.10978184377199156,"frozenset({'G2_ИГРУШКИ', 'G2_ОБУВЬ'})"
12,0.20513722730471498,"frozenset({'G2_ИГРУШКИ', 'G2_ПОДГУЗНИКИ'})"
13,0.24102744546094299,"frozenset({'G2_ИГРУШКИ', 'G2_ТЕКСТИЛЬ, ТРИКОТАЖ'})"
14,0.17733990147783252,"frozenset({'G2_ИГРУШКИ', 'G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ'})"
